"trade_category","category_url","listed_count"
"Accommodation","https://tradehq.co.nz/business-category/accommodation/","14"
"Air Conditioning","https://tradehq.co.nz/business-category/air-conditioning/","7"
"Automation","https://tradehq.co.nz/business-category/automation/","30"
"Builders","https://tradehq.co.nz/business-category/builders/","136"
"Building Inspections","https://tradehq.co.nz/business-category/building-inspections/","23"
"Building Products","https://tradehq.co.nz/business-category/building-products/","3"
"Car and Auto","https://tradehq.co.nz/business-category/car-and-auto/","61"
"Carpet Cleaning","https://tradehq.co.nz/business-category/carpet-cleaning/","27"
"Cleaning","https://tradehq.co.nz/business-category/cleaning/","43"
"Communication Systems","https://tradehq.co.nz/business-category/communication-systems/","5"
"Computer & Electronic Repairs","https://tradehq.co.nz/business-category/computer-electronic-repairs/","13"
"Concrete","https://tradehq.co.nz/business-category/concrete/","9"
"Cranes and Hoists","https://tradehq.co.nz/business-category/cranes-and-hoists/","1"
"Decking","https://tradehq.co.nz/business-category/decking/","5"
"Demolition","https://tradehq.co.nz/business-category/demolition/","3"
"Dental Services","https://tradehq.co.nz/business-category/dental-services/","4"
"Drainage","https://tradehq.co.nz/business-category/drainage/","19"
"Earth Moving & Excavation","https://tradehq.co.nz/business-category/earth-moving-excavation/","6"
"Earthquake Safety Specialist","https://tradehq.co.nz/business-category/earthquake-safety-specialist/","2"
"Electricians","https://tradehq.co.nz/business-category/electricians/","89"
"Engineers","https://tradehq.co.nz/business-category/engineers/","9"
"Exterior House Washing","https://tradehq.co.nz/business-category/exterior-house-washing/","2"
"Fascia & Spouting","https://tradehq.co.nz/business-category/fascia-spouting/","1"
"Fencing","https://tradehq.co.nz/business-category/fencing/","6"
"Fireplaces & Heating","https://tradehq.co.nz/business-category/fireplaces-heating/","3"
"Flooring","https://tradehq.co.nz/business-category/flooring/","24"
"Forklift Trucks","https://tradehq.co.nz/business-category/forklift-trucks/","1"
"Gardening","https://tradehq.co.nz/business-category/gardening/","12"
"Gasfitters","https://tradehq.co.nz/business-category/gasfitters/","9"
"Gib Stoppers and Fixers","https://tradehq.co.nz/business-category/gib-stoppers-and-fixers/","8"
"Glass","https://tradehq.co.nz/business-category/glass/","4"
"Health","https://tradehq.co.nz/business-category/health/","9"
"Heat Pumps","https://tradehq.co.nz/business-category/heat-pumps/","33"
"Home Appliances","https://tradehq.co.nz/business-category/home-appliances/","28"
"Home improvement","https://tradehq.co.nz/business-category/home-improvement/","26"
"House Washing & Cleaning","https://tradehq.co.nz/business-category/house-washing-cleaning/","25"
"Insulation","https://tradehq.co.nz/business-category/insulation/","9"
"Interior Design","https://tradehq.co.nz/business-category/interior-design/","7"
"Job Management Software","https://tradehq.co.nz/business-category/job-management-software/","1"
"Landscaping","https://tradehq.co.nz/business-category/landscaping/","16"
"Locksmiths","https://tradehq.co.nz/business-category/locksmiths/","21"
"Manufacturing","https://tradehq.co.nz/business-category/manufacturing/","21"
"Master Builders","https://tradehq.co.nz/business-category/master-builders/","11"
"Movers","https://tradehq.co.nz/business-category/movers/","26"
"Painters","https://tradehq.co.nz/business-category/painters/","52"
"Plumbers","https://tradehq.co.nz/business-category/plumbers/","59"
"Refrigeration","https://tradehq.co.nz/business-category/refrigeration/","10"
"Roofing","https://tradehq.co.nz/business-category/roofing/","42"
"Rope Access Services","https://tradehq.co.nz/business-category/rope-access-services/","1"
"Scaffolding","https://tradehq.co.nz/business-category/scaffolding/","2"
"Security & Alarm System","https://tradehq.co.nz/business-category/security-alarm-system/","12"
"Shutters & Blinds","https://tradehq.co.nz/business-category/shutters-blinds/","5"
"Software","https://tradehq.co.nz/business-category/software/","6"
"Solar Panel Installers","https://tradehq.co.nz/business-category/solar-panels/","8"
"Spa Pools","https://tradehq.co.nz/business-category/spa-pools/","1"
"Spas & Pools","https://tradehq.co.nz/business-category/spas-pools/","5"
"Spouting","https://tradehq.co.nz/business-category/spouting/","2"
"Testing & Remediation","https://tradehq.co.nz/business-category/testing-remediation/","9"
"Tools & Equipment","https://tradehq.co.nz/business-category/tools-equipment/","17"
"Trades Professional Services","https://tradehq.co.nz/business-category/trades-professional-services/","26"
"Trucks","https://tradehq.co.nz/business-category/trucks/","10"
"Ventilation","https://tradehq.co.nz/business-category/ventilation/","6"
"Water Filtration & Treatment","https://tradehq.co.nz/business-category/water-filtration-treatment/","1"
"Windows and Doors","https://tradehq.co.nz/business-category/windows-and-doors/","17"
